,"ID
операции",Date,ID,Article,Operation,Quantity_Packages,Price_per_unit,District,Department,Product_Name,Supplier,Total_price
24,1281,2021-06-01,М44,43,Поставка,20,66,Центральный,Бакалея,Крупа перловая,Продбаза,1320
25,1305,2021-06-01,М45,34,Продажа,78,122,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,9516
26,1310,2021-06-01,М45,46,Поставка,50,50,Центральный,Бакалея,Крупа манная,Мелькомбинат,2500
27,1343,2021-06-01,М46,34,Продажа,36,138,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,4968
28,1591,2021-06-01,М54,43,Поставка,50,69,Центральный,Бакалея,Крупа перловая,Продбаза,3450
29,1755,2021-06-01,М59,56,Поставка,200,96,Центральный,Бакалея,Крупа пшено,Продбаза,19200
30,1756,2021-06-01,М59,56,Продажа,168,134,Центральный,Бакалея,Крупа пшено,Продбаза,22512
31,1956,2021-06-01,М66,34,Поставка,100,105,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,10500
32,1963,2021-06-01,М66,46,Продажа,67,60,Центральный,Бакалея,Крупа манная,Мелькомбинат,4020
33,1969,2021-06-01,М66,56,Продажа,51,121,Центральный,Бакалея,Крупа пшено,Продбаза,6171
34,2035,2021-06-01,М69,34,Продажа,90,92,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,8280
35,2039,2021-06-01,М69,43,Поставка,50,74,Центральный,Бакалея,Крупа перловая,Продбаза,3700
36,2213,2021-06-01,М75,43,Продажа,44,108,Центральный,Бакалея,Крупа перловая,Продбаза,4752
37,2220,2021-06-01,М75,56,Продажа,46,106,Центральный,Бакалея,Крупа пшено,Продбаза,4876
38,2277,2021-06-01,М77,56,Продажа,22,90,Центральный,Бакалея,Крупа пшено,Продбаза,1980
39,2522,2021-06-01,М85,43,Поставка,200,71,Центральный,Бакалея,Крупа перловая,Продбаза,14200
40,2523,2021-06-01,М85,43,Продажа,193,118,Центральный,Бакалея,Крупа перловая,Продбаза,22774
41,2524,2021-06-01,М85,46,Поставка,200,55,Центральный,Бакалея,Крупа манная,Мелькомбинат,11000
42,2528,2021-06-01,М85,56,Продажа,221,104,Центральный,Бакалея,Крупа пшено,Продбаза,22984
43,2553,2021-06-01,М86,43,Поставка,50,89,Центральный,Бакалея,Крупа перловая,Продбаза,4450
44,2572,2021-06-01,М87,34,Продажа,36,105,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,3780
45,2576,2021-06-01,М87,43,Поставка,20,66,Центральный,Бакалея,Крупа перловая,Продбаза,1320
46,2577,2021-06-01,М87,43,Продажа,31,94,Центральный,Бакалея,Крупа перловая,Продбаза,2914
47,2580,2021-06-01,М87,46,Поставка,30,53,Центральный,Бакалея,Крупа манная,Мелькомбинат,1590
48,2781,2021-06-01,М94,56,Продажа,193,128,Центральный,Бакалея,Крупа пшено,Продбаза,24704
49,3139,2021-06-02,М08,43,Поставка,200,90,Центральный,Бакалея,Крупа перловая,Продбаза,18000
50,3140,2021-06-02,М08,43,Продажа,224,77,Центральный,Бакалея,Крупа перловая,Продбаза,17248
51,3142,2021-06-02,М08,46,Продажа,244,48,Центральный,Бакалея,Крупа манная,Мелькомбинат,11712
52,3200,2021-06-02,М10,43,Поставка,20,77,Центральный,Бакалея,Крупа перловая,Продбаза,1540
53,3254,2021-06-02,М12,34,Поставка,400,99,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,39600
54,3416,2021-06-02,М17,46,Продажа,135,60,Центральный,Бакалея,Крупа манная,Мелькомбинат,8100
55,3463,2021-06-02,М19,34,Продажа,49,95,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,4655
56,3470,2021-06-02,М19,56,Продажа,25,111,Центральный,Бакалея,Крупа пшено,Продбаза,2775
57,3547,2021-06-02,М22,34,Поставка,50,94,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,4700
58,3767,2021-06-02,М29,34,Поставка,20,114,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,2280
59,3796,2021-06-02,М30,34,Продажа,21,118,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,2478
60,3805,2021-06-02,М30,46,Продажа,17,51,Центральный,Бакалея,Крупа манная,Мелькомбинат,867
61,3809,2021-06-02,М30,56,Продажа,15,128,Центральный,Бакалея,Крупа пшено,Продбаза,1920
62,4018,2021-06-02,М37,34,Поставка,100,83,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,8300
63,4025,2021-06-02,М37,46,Поставка,50,47,Центральный,Бакалея,Крупа манная,Мелькомбинат,2350
64,4086,2021-06-02,М39,34,Поставка,100,101,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,10100
65,4092,2021-06-02,М39,43,Поставка,50,91,Центральный,Бакалея,Крупа перловая,Продбаза,4550
66,4093,2021-06-02,М39,43,Продажа,51,79,Центральный,Бакалея,Крупа перловая,Продбаза,4029
67,4098,2021-06-02,М39,56,Продажа,52,126,Центральный,Бакалея,Крупа пшено,Продбаза,6552
68,4247,2021-06-02,М44,43,Поставка,30,75,Центральный,Бакалея,Крупа перловая,Продбаза,2250
69,4248,2021-06-02,М44,46,Поставка,40,54,Центральный,Бакалея,Крупа манная,Мелькомбинат,2160
70,4278,2021-06-02,М45,43,Поставка,50,82,Центральный,Бакалея,Крупа перловая,Продбаза,4100
71,4280,2021-06-02,М45,46,Продажа,78,59,Центральный,Бакалея,Крупа манная,Мелькомбинат,4602
72,4303,2021-06-02,М46,34,Продажа,47,112,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,5264
73,4308,2021-06-02,М46,46,Поставка,30,43,Центральный,Бакалея,Крупа манная,Мелькомбинат,1290
74,4465,2021-06-02,М52,34,Поставка,20,81,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,1620
75,4466,2021-06-02,М52,34,Продажа,18,124,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,2232
76,4474,2021-06-02,М52,46,Поставка,20,52,Центральный,Бакалея,Крупа манная,Мелькомбинат,1040
77,4478,2021-06-02,М52,56,Поставка,10,107,Центральный,Бакалея,Крупа пшено,Продбаза,1070
78,4540,2021-06-02,М54,43,Поставка,50,64,Центральный,Бакалея,Крупа перловая,Продбаза,3200
79,4541,2021-06-02,М54,46,Поставка,100,52,Центральный,Бакалея,Крупа манная,Мелькомбинат,5200
80,4662,2021-06-02,М59,43,Поставка,200,64,Центральный,Бакалея,Крупа перловая,Продбаза,12800
81,4663,2021-06-02,М59,46,Продажа,283,67,Центральный,Бакалея,Крупа манная,Мелькомбинат,18961
82,4817,2021-06-02,М64,46,Продажа,19,51,Центральный,Бакалея,Крупа манная,Мелькомбинат,969
83,4880,2021-06-02,М66,56,Поставка,50,80,Центральный,Бакалея,Крупа пшено,Продбаза,4000
84,5150,2021-06-02,М75,43,Продажа,62,103,Центральный,Бакалея,Крупа перловая,Продбаза,6386
85,5199,2021-06-02,М77,34,Поставка,50,96,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,4800
86,5204,2021-06-02,М77,43,Продажа,23,102,Центральный,Бакалея,Крупа перловая,Продбаза,2346
87,5212,2021-06-02,М77,56,Поставка,20,79,Центральный,Бакалея,Крупа пшено,Продбаза,1580
88,5451,2021-06-02,М85,43,Поставка,200,69,Центральный,Бакалея,Крупа перловая,Продбаза,13800
89,5452,2021-06-02,М85,43,Продажа,185,95,Центральный,Бакалея,Крупа перловая,Продбаза,17575
90,5454,2021-06-02,М85,46,Продажа,296,63,Центральный,Бакалея,Крупа манная,Мелькомбинат,18648
91,5457,2021-06-02,М85,56,Поставка,200,80,Центральный,Бакалея,Крупа пшено,Продбаза,16000
92,5473,2021-06-02,М86,34,Продажа,81,129,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,10449
93,5476,2021-06-02,М86,43,Поставка,50,74,Центральный,Бакалея,Крупа перловая,Продбаза,3700
94,5478,2021-06-02,М86,46,Поставка,50,44,Центральный,Бакалея,Крупа манная,Мелькомбинат,2200
95,5504,2021-06-02,М87,46,Поставка,40,58,Центральный,Бакалея,Крупа манная,Мелькомбинат,2320
96,5505,2021-06-02,М87,46,Продажа,36,70,Центральный,Бакалея,Крупа манная,Мелькомбинат,2520
97,5509,2021-06-02,М87,56,Поставка,30,77,Центральный,Бакалея,Крупа пшено,Продбаза,2310
98,5703,2021-06-02,М94,34,Продажа,357,123,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,43911
99,5710,2021-06-02,М94,46,Поставка,200,52,Центральный,Бакалея,Крупа манная,Мелькомбинат,10400
100,6109,2021-06-03,М08,34,Поставка,400,79,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,31600
101,6114,2021-06-03,М08,46,Поставка,300,50,Центральный,Бакалея,Крупа манная,Мелькомбинат,15000
102,6178,2021-06-03,М10,34,Поставка,50,107,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,5350
103,6184,2021-06-03,М10,56,Поставка,30,108,Центральный,Бакалея,Крупа пшено,Продбаза,3240
104,6378,2021-06-03,М17,34,Поставка,100,101,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,10100
105,6382,2021-06-03,М17,43,Продажа,109,100,Центральный,Бакалея,Крупа перловая,Продбаза,10900
106,6388,2021-06-03,М17,56,Продажа,87,115,Центральный,Бакалея,Крупа пшено,Продбаза,10005
107,6436,2021-06-03,М19,46,Продажа,35,57,Центральный,Бакалея,Крупа манная,Мелькомбинат,1995
108,6518,2021-06-03,М22,34,Продажа,42,93,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,3906
109,6663,2021-06-03,М27,34,Продажа,91,107,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,9737
110,6721,2021-06-03,М29,34,Поставка,20,78,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,1560
111,6728,2021-06-03,М29,43,Продажа,11,97,Центральный,Бакалея,Крупа перловая,Продбаза,1067
112,6730,2021-06-03,М29,46,Поставка,20,55,Центральный,Бакалея,Крупа манная,Мелькомбинат,1100
113,6731,2021-06-03,М29,46,Продажа,16,68,Центральный,Бакалея,Крупа манная,Мелькомбинат,1088
114,6765,2021-06-03,М30,43,Продажа,14,90,Центральный,Бакалея,Крупа перловая,Продбаза,1260
115,6773,2021-06-03,М30,56,Поставка,10,104,Центральный,Бакалея,Крупа пшено,Продбаза,1040
116,6956,2021-06-03,М37,43,Продажа,59,106,Центральный,Бакалея,Крупа перловая,Продбаза,6254
117,7016,2021-06-03,М39,43,Продажа,58,89,Центральный,Бакалея,Крупа перловая,Продбаза,5162
118,7175,2021-06-03,М45,43,Поставка,50,90,Центральный,Бакалея,Крупа перловая,Продбаза,4500
119,7178,2021-06-03,М45,46,Продажа,74,73,Центральный,Бакалея,Крупа манная,Мелькомбинат,5402
120,7182,2021-06-03,М45,56,Поставка,50,88,Центральный,Бакалея,Крупа пшено,Продбаза,4400
121,7210,2021-06-03,М46,56,Поставка,20,90,Центральный,Бакалея,Крупа пшено,Продбаза,1800
122,7211,2021-06-03,М46,56,Продажа,24,113,Центральный,Бакалея,Крупа пшено,Продбаза,2712
123,7393,2021-06-03,М52,43,Продажа,12,110,Центральный,Бакалея,Крупа перловая,Продбаза,1320
124,7397,2021-06-03,М52,56,Поставка,10,107,Центральный,Бакалея,Крупа пшено,Продбаза,1070
125,7398,2021-06-03,М52,56,Продажа,14,126,Центральный,Бакалея,Крупа пшено,Продбаза,1764
126,7454,2021-06-03,М54,43,Поставка,50,74,Центральный,Бакалея,Крупа перловая,Продбаза,3700
127,7457,2021-06-03,М54,46,Продажа,56,57,Центральный,Бакалея,Крупа манная,Мелькомбинат,3192
128,7605,2021-06-03,М59,34,Поставка,300,85,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,25500
129,7610,2021-06-03,М59,43,Поставка,200,67,Центральный,Бакалея,Крупа перловая,Продбаза,13400
130,7612,2021-06-03,М59,46,Поставка,300,45,Центральный,Бакалея,Крупа манная,Мелькомбинат,13500
131,7742,2021-06-03,М64,43,Продажа,15,102,Центральный,Бакалея,Крупа перловая,Продбаза,1530
132,7810,2021-06-03,М66,43,Продажа,47,84,Центральный,Бакалея,Крупа перловая,Продбаза,3948
133,7815,2021-06-03,М66,56,Поставка,50,93,Центральный,Бакалея,Крупа пшено,Продбаза,4650
134,7866,2021-06-03,М68,46,Поставка,50,58,Центральный,Бакалея,Крупа манная,Мелькомбинат,2900
135,7889,2021-06-03,М69,43,Поставка,50,80,Центральный,Бакалея,Крупа перловая,Продбаза,4000
136,7898,2021-06-03,М69,56,Поставка,50,74,Центральный,Бакалея,Крупа пшено,Продбаза,3700
137,8075,2021-06-03,М75,34,Поставка,100,88,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,8800
138,8080,2021-06-03,М75,46,Продажа,56,66,Центральный,Бакалея,Крупа манная,Мелькомбинат,3696
139,8143,2021-06-03,М77,46,Поставка,30,39,Центральный,Бакалея,Крупа манная,Мелькомбинат,1170
140,8151,2021-06-03,М77,56,Продажа,23,89,Центральный,Бакалея,Крупа пшено,Продбаза,2047
141,8396,2021-06-03,М85,56,Продажа,175,110,Центральный,Бакалея,Крупа пшено,Продбаза,19250
142,8412,2021-06-03,М86,34,Продажа,76,90,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,6840
143,8446,2021-06-03,М87,43,Поставка,20,75,Центральный,Бакалея,Крупа перловая,Продбаза,1500
144,8449,2021-06-03,М87,46,Продажа,29,64,Центральный,Бакалея,Крупа манная,Мелькомбинат,1856
145,8456,2021-06-03,М87,56,Продажа,28,88,Центральный,Бакалея,Крупа пшено,Продбаза,2464
146,8654,2021-06-03,М94,46,Поставка,300,57,Центральный,Бакалея,Крупа манная,Мелькомбинат,17100
147,9074,2021-06-04,М08,34,Продажа,395,91,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,35945
148,9080,2021-06-04,М08,43,Поставка,300,81,Центральный,Бакалея,Крупа перловая,Продбаза,24300
149,9082,2021-06-04,М08,46,Поставка,300,50,Центральный,Бакалея,Крупа манная,Мелькомбинат,15000
150,9147,2021-06-04,М10,56,Продажа,27,110,Центральный,Бакалея,Крупа пшено,Продбаза,2970
151,9338,2021-06-04,М17,34,Поставка,200,95,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,19000
152,9340,2021-06-04,М17,46,Продажа,105,73,Центральный,Бакалея,Крупа манная,Мелькомбинат,7665
153,9346,2021-06-04,М17,56,Продажа,89,83,Центральный,Бакалея,Крупа пшено,Продбаза,7387
154,9396,2021-06-04,М19,34,Продажа,36,114,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,4104
155,9399,2021-06-04,М19,43,Поставка,20,88,Центральный,Бакалея,Крупа перловая,Продбаза,1760
156,9401,2021-06-04,М19,46,Поставка,30,53,Центральный,Бакалея,Крупа манная,Мелькомбинат,1590
157,9478,2021-06-04,М22,34,Продажа,44,97,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,4268
158,9637,2021-06-04,М27,34,Поставка,50,101,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,5050
159,9643,2021-06-04,М27,43,Продажа,52,113,Центральный,Бакалея,Крупа перловая,Продбаза,5876
160,9710,2021-06-04,М29,43,Поставка,10,80,Центральный,Бакалея,Крупа перловая,Продбаза,800
161,9744,2021-06-04,М30,56,Поставка,20,86,Центральный,Бакалея,Крупа пшено,Продбаза,1720
162,9945,2021-06-04,М37,46,Поставка,50,57,Центральный,Бакалея,Крупа манная,Мелькомбинат,2850
163,9954,2021-06-04,М37,56,Поставка,50,103,Центральный,Бакалея,Крупа пшено,Продбаза,5150
164,9998,2021-06-04,М39,34,Продажа,80,140,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,11200
165,10004,2021-06-04,М39,56,Поставка,50,104,Центральный,Бакалея,Крупа пшено,Продбаза,5200
166,10138,2021-06-04,М44,56,Продажа,27,130,Центральный,Бакалея,Крупа пшено,Продбаза,3510
167,10157,2021-06-04,М45,34,Поставка,100,86,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,8600
168,10158,2021-06-04,М45,34,Продажа,96,108,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,10368
169,10170,2021-06-04,М45,56,Продажа,61,91,Центральный,Бакалея,Крупа пшено,Продбаза,5551
170,10373,2021-06-04,М52,34,Поставка,20,104,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,2080
171,10379,2021-06-04,М52,46,Поставка,20,43,Центральный,Бакалея,Крупа манная,Мелькомбинат,860
172,10380,2021-06-04,М52,46,Продажа,15,49,Центральный,Бакалея,Крупа манная,Мелькомбинат,735
173,10387,2021-06-04,М52,56,Поставка,10,73,Центральный,Бакалея,Крупа пшено,Продбаза,730
174,10433,2021-06-04,М54,34,Продажа,90,134,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,12060
175,10438,2021-06-04,М54,43,Поставка,50,64,Центральный,Бакалея,Крупа перловая,Продбаза,3200
176,10439,2021-06-04,М54,43,Продажа,52,105,Центральный,Бакалея,Крупа перловая,Продбаза,5460
177,10442,2021-06-04,М54,46,Поставка,50,53,Центральный,Бакалея,Крупа манная,Мелькомбинат,2650
178,10578,2021-06-04,М59,46,Поставка,300,47,Центральный,Бакалея,Крупа манная,Мелькомбинат,14100
179,10579,2021-06-04,М59,46,Продажа,280,44,Центральный,Бакалея,Крупа манная,Мелькомбинат,12320
180,10722,2021-06-04,М64,46,Продажа,19,62,Центральный,Бакалея,Крупа манная,Мелькомбинат,1178
181,10792,2021-06-04,М66,34,Продажа,99,96,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,9504
182,10802,2021-06-04,М66,56,Поставка,50,95,Центральный,Бакалея,Крупа пшено,Продбаза,4750
183,10852,2021-06-04,М68,34,Поставка,50,114,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,5700
184,10853,2021-06-04,М68,34,Продажа,70,138,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,9660
185,10859,2021-06-04,М68,46,Продажа,53,45,Центральный,Бакалея,Крупа манная,Мелькомбинат,2385
186,10880,2021-06-04,М69,34,Поставка,100,87,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,8700
187,10881,2021-06-04,М69,34,Продажа,74,118,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,8732
188,10886,2021-06-04,М69,56,Поставка,50,108,Центральный,Бакалея,Крупа пшено,Продбаза,5400
189,11031,2021-06-04,М75,34,Продажа,81,110,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,8910
190,11093,2021-06-04,М77,34,Продажа,52,98,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,5096
191,11341,2021-06-04,М85,56,Продажа,168,112,Центральный,Бакалея,Крупа пшено,Продбаза,18816
192,11366,2021-06-04,М86,56,Поставка,50,72,Центральный,Бакалея,Крупа пшено,Продбаза,3600
193,11385,2021-06-04,М87,34,Продажа,48,125,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,6000
194,11389,2021-06-04,М87,43,Поставка,20,72,Центральный,Бакалея,Крупа перловая,Продбаза,1440
195,11587,2021-06-04,М94,34,Поставка,300,79,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,23700
196,11989,2021-06-05,М08,43,Продажа,178,96,Центральный,Бакалея,Крупа перловая,Продбаза,17088
197,12045,2021-06-05,М10,46,Поставка,30,48,Центральный,Бакалея,Крупа манная,Мелькомбинат,1440
198,12100,2021-06-05,М12,43,Поставка,200,95,Центральный,Бакалея,Крупа перловая,Продбаза,19000
199,12309,2021-06-05,М19,56,Поставка,20,76,Центральный,Бакалея,Крупа пшено,Продбаза,1520
200,12310,2021-06-05,М19,56,Продажа,23,90,Центральный,Бакалея,Крупа пшено,Продбаза,2070
201,12404,2021-06-05,М22,46,Поставка,30,49,Центральный,Бакалея,Крупа манная,Мелькомбинат,1470
202,12413,2021-06-05,М22,56,Продажа,29,119,Центральный,Бакалея,Крупа пшено,Продбаза,3451
203,12530,2021-06-05,М27,46,Поставка,50,56,Центральный,Бакалея,Крупа манная,Мелькомбинат,2800
204,12583,2021-06-05,М29,43,Поставка,10,72,Центральный,Бакалея,Крупа перловая,Продбаза,720
205,12584,2021-06-05,М29,43,Продажа,10,73,Центральный,Бакалея,Крупа перловая,Продбаза,730
206,12586,2021-06-05,М29,46,Поставка,20,53,Центральный,Бакалея,Крупа манная,Мелькомбинат,1060
207,12614,2021-06-05,М30,43,Продажа,13,86,Центральный,Бакалея,Крупа перловая,Продбаза,1118
208,12617,2021-06-05,М30,46,Продажа,19,51,Центральный,Бакалея,Крупа манная,Мелькомбинат,969
209,12895,2021-06-05,М39,56,Поставка,50,79,Центральный,Бакалея,Крупа пшено,Продбаза,3950
210,12896,2021-06-05,М39,56,Продажа,48,131,Центральный,Бакалея,Крупа пшено,Продбаза,6288
211,13029,2021-06-05,М44,43,Продажа,28,74,Центральный,Бакалея,Крупа перловая,Продбаза,2072
212,13060,2021-06-05,М45,43,Продажа,50,110,Центральный,Бакалея,Крупа перловая,Продбаза,5500
213,13062,2021-06-05,М45,46,Поставка,100,40,Центральный,Бакалея,Крупа манная,Мелькомбинат,4000
214,13063,2021-06-05,М45,46,Продажа,74,64,Центральный,Бакалея,Крупа манная,Мелькомбинат,4736
215,13089,2021-06-05,М46,46,Поставка,40,53,Центральный,Бакалея,Крупа манная,Мелькомбинат,2120
216,13092,2021-06-05,М46,56,Поставка,30,95,Центральный,Бакалея,Крупа пшено,Продбаза,2850
217,13254,2021-06-05,М52,46,Продажа,17,48,Центральный,Бакалея,Крупа манная,Мелькомбинат,816
218,13258,2021-06-05,М52,56,Продажа,11,96,Центральный,Бакалея,Крупа пшено,Продбаза,1056
219,13304,2021-06-05,М54,43,Поставка,50,91,Центральный,Бакалея,Крупа перловая,Продбаза,4550
220,13307,2021-06-05,М54,46,Продажа,71,45,Центральный,Бакалея,Крупа манная,Мелькомбинат,3195
221,13468,2021-06-05,М59,46,Поставка,300,43,Центральный,Бакалея,Крупа манная,Мелькомбинат,12900
222,13626,2021-06-05,М64,46,Поставка,10,49,Центральный,Бакалея,Крупа манная,Мелькомбинат,490
223,13627,2021-06-05,М64,46,Продажа,14,53,Центральный,Бакалея,Крупа манная,Мелькомбинат,742
224,13686,2021-06-05,М66,46,Продажа,77,52,Центральный,Бакалея,Крупа манная,Мелькомбинат,4004
225,13742,2021-06-05,М68,34,Поставка,100,101,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,10100
226,13747,2021-06-05,М68,46,Продажа,60,52,Центральный,Бакалея,Крупа манная,Мелькомбинат,3120
227,13754,2021-06-05,М68,56,Поставка,50,101,Центральный,Бакалея,Крупа пшено,Продбаза,5050
228,13772,2021-06-05,М69,34,Поставка,50,77,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,3850
229,13775,2021-06-05,М69,43,Поставка,50,75,Центральный,Бакалея,Крупа перловая,Продбаза,3750
230,13933,2021-06-05,М75,43,Продажа,60,98,Центральный,Бакалея,Крупа перловая,Продбаза,5880
231,13936,2021-06-05,М75,46,Поставка,100,40,Центральный,Бакалея,Крупа манная,Мелькомбинат,4000
232,13938,2021-06-05,М75,56,Поставка,50,95,Центральный,Бакалея,Крупа пшено,Продбаза,4750
233,13981,2021-06-05,М77,46,Продажа,36,45,Центральный,Бакалея,Крупа манная,Мелькомбинат,1620
234,13988,2021-06-05,М77,56,Поставка,30,83,Центральный,Бакалея,Крупа пшено,Продбаза,2490
235,14224,2021-06-05,М85,34,Поставка,300,97,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,29100
236,14225,2021-06-05,М85,34,Продажа,385,104,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,40040
237,14231,2021-06-05,М85,46,Поставка,300,53,Центральный,Бакалея,Крупа манная,Мелькомбинат,15900
238,14240,2021-06-05,М85,56,Поставка,200,88,Центральный,Бакалея,Крупа пшено,Продбаза,17600
239,14273,2021-06-05,М86,46,Поставка,50,53,Центральный,Бакалея,Крупа манная,Мелькомбинат,2650
240,14277,2021-06-05,М86,56,Поставка,50,103,Центральный,Бакалея,Крупа пшено,Продбаза,5150
241,14278,2021-06-05,М86,56,Продажа,49,133,Центральный,Бакалея,Крупа пшено,Продбаза,6517
242,14497,2021-06-05,М94,46,Поставка,200,46,Центральный,Бакалея,Крупа манная,Мелькомбинат,9200
243,14903,2021-06-06,М08,43,Поставка,200,78,Центральный,Бакалея,Крупа перловая,Продбаза,15600
244,14950,2021-06-06,М10,43,Поставка,30,93,Центральный,Бакалея,Крупа перловая,Продбаза,2790
245,15003,2021-06-06,М12,46,Поставка,300,50,Центральный,Бакалея,Крупа манная,Мелькомбинат,15000
246,15150,2021-06-06,М17,43,Продажа,86,88,Центральный,Бакалея,Крупа перловая,Продбаза,7568
247,15152,2021-06-06,М17,46,Поставка,100,40,Центральный,Бакалея,Крупа манная,Мелькомбинат,4000
248,15213,2021-06-06,М19,34,Продажа,39,111,Центральный,Бакалея,Крупа гречневая ядрица,Продбаза,4329
